# x_um	y
0.011482	0
0.013183	0
0.015136	0
0.017378	0
0.019953	0
0.022909	0
0.026303	0
0.0302	0
0.034674	0
0.039811	0
0.045709	0
0.052481	0
0.060256	1.105274
0.069183	2.818055
0.079433	4.606303
0.091201	5.667777
0.104713	5.677342
0.120226	4.804201
0.138038	3.47452
0.158489	2.138655
0.18197	1.095393
0.20893	0.44174
0.239883	0.125186
0.275423	0.016797
0.316228	1.4e-05
0.363078	0
0.416869	0
0.47863	0
0.549541	0
0.630957	0
0.724436	0
0.831764	0.045197
0.954993	0.270378
1.096478	0.546102
1.258925	0.732202
1.44544	0.828757
1.659587	0.842076
1.905461	0.811657
2.187762	0.778349
2.511886	0.770811
2.884031	0.801872
3.311311	0.873868
3.801894	0.982672
4.365158	1.11734
5.011872	1.2677
5.754399	1.421795
6.606934	1.575904
7.585776	1.72482
8.709636	1.872456
10	2.015273
11.481536	2.156065
13.182567	2.285835
15.135612	2.400954
17.378008	2.490997
19.952623	2.554256
22.908677	2.591061
26.30268	2.609476
30.199517	2.620098
34.673685	2.634373
39.810717	2.66047
45.708819	2.700599
52.480746	2.746713
60.255959	2.778066
69.183097	2.764078
79.432823	2.67159
91.201084	2.476112
104.712855	2.181326
120.226443	1.806821
138.038426	1.413402
158.489319	1.027834
181.970086	0.674452
208.929613	0.3377
239.883292	0.128045
275.42287	0.039194
316.227766	0
363.078055	0
416.869383	0
478.630092	0
549.540874	0
630.957344	0
724.43596	0
831.763771	0
954.992586	0
1096.478196	0
1258.925412	0
1445.439771	0
1659.586907	0
1905.460718	0
2187.761624	0
2511.886432	0
2884.031503	0
3311.311215	0
3801.893963	0
4365.158322	0
5011.872336	0
5754.399373	0
6606.93448	0
7585.77575	0
8709.6359	0
10000	0
