0.011482	0
0.013183	0
0.015136	0
0.017378	0
0.019953	0
0.022909	0
0.026303	0
0.0302	0
0.034674	0
0.039811	0
0.045709	0
0.052481	0
0.060256	2.14022
0.069183	5.141896
0.079433	8.812441
0.091201	10.4906
0.104713	10.279668
0.120226	8.478376
0.138038	5.935686
0.158489	3.519835
0.18197	1.718903
0.20893	0.648883
0.239883	0.16394
0.275423	0.015798
0.316228	0
0.363078	0
0.416869	0
0.47863	0
0.549541	0
0.630957	0
0.724436	0
0.831764	0
0.954993	0.136375
1.096478	0.567447
1.258925	0.903704
1.44544	1.000369
1.659587	0.878075
1.905461	0.66302
2.187762	0.476626
2.511886	0.370724
2.884031	0.348563
3.311311	0.401174
3.801894	0.519626
4.365158	0.68606
5.011872	0.877373
5.754399	1.065245
6.606934	1.23455
7.585776	1.37555
8.709636	1.494274
10	1.595358
11.481536	1.690639
13.182567	1.78052
15.135612	1.861857
17.378008	1.918691
19.952623	1.93641
22.908677	1.903716
26.30268	1.819743
30.199517	1.698099
34.673685	1.5595
39.810717	1.428205
45.708819	1.323039
52.480746	1.257007
60.255959	1.232929
69.183097	1.239143
79.432823	1.247663
91.201084	1.213758
104.712855	1.089226
120.226443	0.847364
138.038426	0.54807
158.489319	0.298637
181.970086	0.127311
208.929613	0.038117
239.883292	0
275.42287	0
316.227766	0
363.078055	0
416.869383	0
478.630092	0
549.540874	0
630.957344	0
724.43596	0
831.763771	0
954.992586	0
1096.478196	0
1258.925412	0
1445.439771	0
1659.586907	0
1905.460718	0
2187.761624	0
2511.886432	0
2884.031503	0
3311.311215	0
3801.893963	0
4365.158322	0
5011.872336	0
5754.399373	0
6606.93448	0
7585.77575	0
8709.6359	0
10000	0
